,Name,SKU,Image,Part Type
146,4.6mm Plastic Spacer ,276-2018,,Fastener
147,8mm Plastic Spacer ,276-2019,,Fastener
148,Intake Roller ,276-2026,,Motion
,Advanced Mechanics and Motion Kit,276-2045,,Motion
,Hand Crank,276-2045-001,See Above -- Individual Image Coming Soon,Motion
,Lead Screw Nut,276-2045-031,See Above -- Individual Image Coming Soon,Motion
,Drop Off Cam,276-2045-061,See Above -- Individual Image Coming Soon,Motion
,Cam Follower,276-2045-066,See Above -- Individual Image Coming Soon,Motion
,Cam Follower Bracket,276-2045-064,See Above -- Individual Image Coming Soon,Motion
,Lead Screw Bracket,276-2045-033,See Above -- Individual Image Coming Soon,Motion
,U-Joint,276-2045-020,See Above -- Individual Image Coming Soon,Motion
,16t Bevel Gear,276-2045-051,See Above -- Individual Image Coming Soon,Motion
,32t Bevel Gear,276-2045-052,See Above -- Individual Image Coming Soon,Motion
,Lead Screw,276-2045-032,See Above -- Individual Image Coming Soon,Motion
149,Line Tracker ,276-2154,,Electronics
150,Ultrasonic Range Finder,276-2155,,Electronics
151,Optical Shaft Encoder ,276-2156,,Electronics
152,Light Sensor,276-2158,,Electronics
153,Bumper Switch ,276-2159,,Electronics
,Chain Link,228-2500-1160,,Motion
,10t Sprocket,276-2166-002,See Above -- Individual Image Coming Soon,Motion
,15t Sprocket,276-2166-003,See Above -- Individual Image Coming Soon,Motion
,24t Sprocket,276-2166-004,See Above -- Individual Image Coming Soon,Motion
,40t Sprocket,276-2166-005,See Above -- Individual Image Coming Soon,Motion
,48t Sprocket,276-2166-006,See Above -- Individual Image Coming Soon,Motion
,Tank Tread Link,276-2168-002,,Motion
,Tank Tread Sprocket,276-2168-003,See Above -- Individual Image Coming Soon,Motion
,Single Bogie Wheel,276-2168-004,See Above -- Individual Image Coming Soon,Motion
,Double Bogie Wheel,276-2168-005,See Above -- Individual Image Coming Soon,Motion
,60t Gear,276-2169-003,,Motion
,12t Gear,276-2169-001,See Above -- Individual Image Coming Soon,Motion
,36t Gear,276-2169-002,See Above -- Individual Image Coming Soon,Motion
,84t Gear,276-2169-004,See Above -- Individual Image Coming Soon,Motion
158,Additional High Strength Chain,276-2172,,Motion
159,Limit Switch ,276-2174,,Electronics
161,"1/4"" Pitch Bearing Flat ",276-2179,,Motion
,Differential Housing,276-2184-001,,Motion
,12T Gear,276-2232-041,See Above -- Individual Image Coming Soon,Motion
,Worm Wheel,276-2184-002,See Above -- Individual Image Coming Soon,Motion
,Bevel Gear,276-2184-004,See Above -- Individual Image Coming Soon,Motion
,Worm Gear ,276-2184-003,See Above -- Individual Image Coming Soon,Motion
,Rack Gear,276-4782-001,See Above -- Individual Image Coming Soon,Motion
163,"4"" Omni-Directional Wheel ",276-2185,,Wheel
165,Claw Kit,276-2212,,Motion
167,Tank Tread Traction Links,276-2214-001,,Motion
168,Conveyor-belt Base Links,276-2214-002,,Motion
169,Short Conveyor-belt Inserts,276-2214-003,,Motion
170,Medium Conveyor-belt Inserts,276-2214-004,,Motion
171,Tall Conveyor-belt Inserts,276-2214-005,,Motion
172,Bearing Attachment Rivet ,276-2215,,Fastener
173,Potentiometer ,276-2216,,Electronics
174,"6"" Wheel Leg ",276-2218,,Motion
177,12T Metal Pinions,276-2251-001,,Motion
178,12T Pinion Gear Inserts,276-2251-002,,Motion
180,1x2x1x25 Aluminum C-Channel ,276-2288,,Structure
181,1x2x1x35 Aluminum C-Channel ,276-2289,,Structure
182,1x5x1x25 Aluminum C-Channel ,276-2290,,Structure
183,1x5x1x35 Aluminum C-Channel ,276-2298,,Structure
184,2x2x35 Aluminum Angle ,276-2304,,Structure
185,1x25 Aluminum Bar ,276-2307,,Structure
186,5x25 Aluminum Plate ,276-2311,,Structure
187,Yaw Rate Gyroscope Sensor V1.0,276-2333,,Electronics
188,"#8-32 x 0.125"" Set Screw ",276-2385,,Fastener
189,"F-F 3-Wire Adapter Cable 12"" ",276-2395,,Electronics
190,C-Channel Coupler Gusset ,276-2575,,Structure
191,Angle Corner Gusset ,276-2576,,Structure
,90-Degree Gusset Angle,276-2577-001,,Structure
,90-Degree Gusset Plate,276-2577-002,See Above -- Individual Image Coming Soon,Structure
193,Angle Coupler Gusset ,276-2578,,Structure
194,Universal Joint ,276-2723,,Motion
195,1x2x1x35 Steel C-Channel ,276-2906,,Structure
196,84T High Strength Gear ,276-3438,,Motion
197,"2"" High Strength Shaft ",276-3440,,Motion
198,High Strength Shaft Spacer Kit,276-3441,Image Coming Soon,Motion
199,High Strength Clamping Shaft Collar ,276-3520,,Motion
200,High Strength Shaft Bearing ,276-3521,,Motion
201,"3"" High Strength Shaft ",276-3522,,Motion
202,"4"" High Strength Shaft ",276-3523,,Motion
203,"12"" High Strength Shaft ",276-3524,,Motion
204,"3.25"" Omni-Directional Wheel ",276-3526,,Wheel
205,6T High Strength Sprocket ,276-3876,,Motion
206,12T High Strength Sprocket ,276-3877,,Motion
207,18T High Strength Sprocket ,276-3878,,Motion
208,24T High Strength Sprocket ,276-3879,,Motion
209,30T High Strength Sprocket ,276-3880,,Motion
210,High Strength Shaft Insert Kit,276-3881,,Motion
211,Clamping Shaft Collar ,276-3891,,Motion
212,Synthetic Rubber Band #64 ,276-3990,,
213,Extension Cable Retaining Clip ,276-4128,,Electronics
214,1x3x1x35 Aluminum C-Channel ,276-4359,,Structure
215,Linear Motion Additional Truck Kit,276-4489,,Motion
216,Rack Gear v2 ,276-4782,,Motion
217,V5 Robot Brain,276-4810,,Electronics
218,V5 Robot Battery Li-Ion 1100mAh,276-4811,,Electronics
219,V5 Power Cable Assortment,276-4817,,Electronics
220,V5 Controller,276-4820,,Electronics
221,V5 Robot Radio,276-4831,,Electronics
222,V5 Smart Motor (11W),276-4840,,Electronics
223,Smart Motor (5.5W),276-4842,,Electronics
,Vision Sensor,276-4850,,Electronics
224,Distance Sensor,276-4852,,Electronics
225,Inertial Sensor,276-4855,,Electronics
226,Bumper Switch v2 ,276-4858,,Electronics
,V5 Smart Cable - 200mm,276-4860-010,,Electronics
,V5 Smart Cable - 300mm,276-4860-020,See Above -- Individual Image Coming Soon,Electronics
,V5 Smart Cable - 600mm,276-4860-030,See Above -- Individual Image Coming Soon,Electronics
,V5 Smart Cable - 600mm,276-4860-030,,Electronics
,V5 Smart Cable - 900mm,276-4861-010,See Above -- Individual Image Coming Soon,Electronics
,V5 Smart Cable - 1200mm,276-4861-020,See Above -- Individual Image Coming Soon,Electronics
,V5 Smart Cable - 1500mm,276-4861-030,See Above -- Individual Image Coming Soon,Electronics
229,"#8-32 x 1.000"" Star Drive Coupler ",276-4988,,Fastener
230,"#8-32 x 0.500"" Star Drive Coupler ",276-4989,,Fastener
231,"#8-32 x 1/4"" Star Drive Screw  ",276-4990,,Fastener
232,"#8-32 x 3/8"" Star Drive Screw ",276-4991,,Fastener
233,"#8-32 x 1/2"" Star Drive Screw",276-4992,,Fastener
234,"#8-32 x 5/8"" Star Drive Screw ",276-4993,,Fastener
235,"#8-32 x 3/4"" Star Drive Screw  ",276-4994,,Fastener
236,"#8-32 x 7/8"" Star Drive Screw ",276-4995,,Fastener
237,"#8-32 x 1.000"" Star Drive Screw ",276-4996,,Fastener
238,"#8-32 x 1.250"" Star Drive Screw ",276-4997,,Fastener
239,"#8-32 x 1.500"" Star Drive Screw  ",276-4998,,Fastener
240,"#8-32 x 1.750"" Star Drive Screw ",276-4999,,Fastener
241,"#8-32 x 2.000"" Star Drive Screw ",276-5004,,Fastener
242,"#8-32 x 1/4"" Locking Star Drive Screw ",276-5006,,Fastener
243,"#8-32 x 1/2"" Locking Star Drive Screw ",276-5007,,Fastener
244,36T High Strength Gear ,276-5034,,Motion
245,60T High Strength Gear ,276-5035,,Motion
246,3-Wire Expander,276-5299,,Electronics
,Large Turntable Bearing V2 Assembly,276-5652-000,,Motion
,Small Turntable Bearing V2 Assembly,276-5652-004,See Above -- Individual Image Coming Soon,Motion
,Turntable Mounting Bracket,276-5652-007,See Above -- Individual Image Coming Soon,Structure
248,Rack Gearbox Bracket v2 ,276-5771,,Structure
249,Smart Cable Stock (8m),276-5774,,Electronics
250,Smart Cable Connectors ,276-5775,,Electronics
251,Smart Motor 36:1 Cartridge (100 RPM),276-5840,,Electronics
252,Smart Motor 18:1 Cartridge (200 RPM),276-5841,,Electronics
253,Smart Motor 6:1 Cartridge (600 RPM) ,276-5842,,Electronics
254,Claw Kit v2,276-6010,,Motion
255,V5 Battery Clip ,276-6020,,Electronics
256,Rotation Sensor,276-6050,,Electronics
257,"#8-32 x 0.125"" Star Drive Set Screw ",276-6098,,Fastener
258,Star Drive Clamping Shaft Collar ,276-6101,,Motion
259,High Strength Star Drive Clamping Shaft Collar ,276-6102,,Motion
260,Star Drive Shaft Collar ,276-6103,,Motion
262,"3/8"" OD x #8 Nylon Spacer, 0.125""",276-6340-001,,Fastener
263,"3/8"" OD x #8 Nylon Spacer, 0.250""",276-6340-002,,Fastener
264,"3/8"" OD x #8 Nylon Spacer, 0.375""",276-6340-003,,Fastener
265,"3/8"" OD x #8 Nylon Spacer, 0.500""",276-6340-004,,Fastener
266,Smart Cables ,276-6364,,Electronics
,Linear Slide Track,276-1926-001,,Motion
,Linear Slide Bracket,276-1926-002,See Above -- Individual Image Coming Soon,Motion
,Inner Slide Truck,276-6465-001,See Above -- Individual Image Coming Soon,Motion
,Outer Slide Truck,276-6465-002,See Above -- Individual Image Coming Soon,Motion
268,1-Post Hex Nut Retainer w/ Bearing Flat  ,276-6481,,Motion
269,1-Post Hex Nut Retainer ,276-6482,,Structure
270,4-Post Hex Nut Retainer ,276-6483,,Structure
271,1x1x35 Aluminum Angle ,276-6484,,Structure
,Tank Tread Link,276-2168-302,,Motion
,Tank Tread Sprocket,276-2168-003,See Above -- Individual Image Coming Soon,Motion
,Single Bogie Wheel,276-2168-004,See Above -- Individual Image Coming Soon,Motion
,Double Bogie Wheel,276-2168-005,See Above -- Individual Image Coming Soon,Motion
273,Smart Motor Cap Replacement,276-6780,,Structure
274,Smart Motor #8-32 Threaded Inserts ,276-6781,,Fastener
275,Optical Sensor,276-7043,,Electronics
276,High Strength Conveyor Chain,276-7141,,Motion
277,2x2x2x20 Aluminum U-Channel ,276-7285,,Structure
278,12T Metal Gear ,276-7368,,Motion
279,V5 GPS Sensor,276-7405,,Electronics
280,Potentiometer V2 ,276-7417,,Electronics
281,"24"" High Strength Shaft ",276-7465,,Motion
282,Rubber Bumper ,276-7499,,Fastener
283,24T High Strength Gear V2 ,276-7572,,Motion
284,48T High Strength Gear v2 ,276-7573,,Motion
285,72T High Strength Gear v2 ,276-7574,,Motion
286,High Strength Chain Attachment Link Kit,276-7578,,Motion
287,Low Profile High Strength Clamping Shaft Collar ,276-7580,,Motion
,"High Strength Shaft Bushing, 1/8"" Thick",276-7582-001,,Motion
,"High Strength Shaft Bushing, 5/16"" Thick",276-7582-002,See Above -- Individual Image Coming Soon,Motion
289,36T High Strength Gear v2 ,276-7747,,Motion
290,60T High Strength Gear v2 ,276-7748,,Motion
291,84T High Strength Gear v2 ,276-7749,,Motion
293,30 Degree Flat Gussets,276-7758-001,,Structure
294,30 Degree Bent Gussets,276-7758-002,,Structure
296, 45 Degree Flat Gussets,276-7759-001,,Structure
297,45 Degree Bent Gussets,276-7759-002,,Structure
299,60 Degree Flat Gussets,276-7760-001,,Structure
300,60 Degree Bent Gussets,276-7760-002,,Structure
302,90 Degree Flat Gussets,276-7761-001,,Structure
303,90 Degree Bent Gussets,276-7761-002,,Structure
304,#8-32 Low Profile Nut ,276-7767,,Fastener
305,"3.25"" (260mm Travel) Anti-Static Wheel ",276-7771,,Wheel
306,Bumper Switch 6N ,276-8010,,Electronics
307,"#8-32 x 2.250"" Star Drive Screw ",276-8015,,Fastener
308,"#8-32 x 2.500"" Star Drive Screw ",276-8016,,Fastener
310,"3/8"" OD x #8 Click-On Spacer, 0.063""",276-8019-001,,Fastener
311,"3/8"" OD x #8 Click-On Spacer, 0.125""",276-8019-002,,Fastener
312,"3/8"" OD x #8 Click-On Spacer, 0.250""",276-8019-003,,Fastener
313,1-Post Standoff Retainer ,276-8020,,Structure
314,1-Post Standoff Retainer with Bearing Flat ,276-8021,,Motion
315,4-Post Standoff Retainer ,276-8022,,Structure
316,Low Profile Bearing Flat ,276-8023,,Structure
317,Shaft Collar Retainer with Bearing Flat ,276-8024,,Structure
318,"3.25"" (260mm Travel) Omni-Directional Anti-Static Wheel ",276-8026,,Wheel
319,"8T Sprocket, 6P ",276-8030,,Motion
320,"High Strength Shaft Adapter (#8 Round Bore, 1/2"" Long) ",276-8034,,Motion
321,EPDM Elastic Bands #32 ,276-8076,,
322,EPDM Elastic Bands #64 ,276-8077,,
323,"V5 Pneumatic Tubing (Black, 3m)",276-8083,,Pneumatics
324,"2.75"" (220mm Travel) Anti-Static Wheel ",276-8098,,Wheel
325,"4"" (320mm Travel) Anti-Static Wheel ",276-8103,,Wheel
326,"2.75"" (220mm Travel) Omni-Directional Anti-Static Wheel ",276-8106,,Wheel
327,"4"" (320mm Travel) Omni-Directional Anti-Static Wheel ",276-8107,,Wheel
328,"High Strength Shaft Adapter (1/8"" Square Bore, 1/2"" Long) ",276-8235,,Motion
329,"16T Sprocket, 6P ",276-8328,,Motion
330,"24T Sprocket, 6P ",276-8329,,Motion
331,"32T Sprocket, 6P ",276-8330,,Motion
332,"40T Sprocket, 6P ",276-8331,,Motion
,VEX IQ Chain,228-2500-230,,Motion
334,2x12 PET Sheets,276-8341-001,,Structure
335,6x6 PET Sheets,276-8341-002,,Structure
336,6x12 PET Sheets,276-8341-003,,Structure
337,High Strength Pillow Block ,276-8383,,Motion
338,High Strength Shaft Ball Bearing ,276-8402,,Motion
339,Straight Pneumatic Fitting Kit ,276-8636,,Pneumatics
340,Elbow Fitting Kit ,276-8637,,Pneumatics
341,VEX “T” Pneumatic Fittings ,276-8638,,Pneumatics
342,Assorted Pneumatic Fittings,276-8639,,Pneumatics
343,"Dual Acting Cylinder, 10mm Bore, 25mm Stroke",276-8642,,Pneumatics
344,"Dual Acting Cylinder, 10mm Bore, 50mm Stroke",276-8644,,Pneumatics
